ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Full Name,Publisher,Alignment,Gender,Race,Height,Weight,Eye_Color,Hair_Color,Work,Image
408,Lightning Lord,44,10,23,42,66,42,Mekt Ranzz,DC Comics,bad,Male,null,191 cm,95 kg,Blue,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/1179.jpg
409,Living Brain,75,53,35,56,31,28,,Marvel Comics,bad,-,null,198 cm,360 kg,Yellow,-,Robot,https://www.superherodb.com/pictures2/portraits/10/100/1037.jpg
410,Living Tribunal,100,100,100,100,100,30,,Marvel Comics,neutral,-,Cosmic Entity,0 cm,0 kg,Blue,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/10523.jpg
411,Liz Sherman,null,null,null,null,null,null,Elizabeth Anne Sherman,Dark Horse Comics,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/868.jpg
412,Lizard,50,51,27,70,63,56,Curtis Connors,Marvel Comics,bad,Male,Human,203 cm,230 kg,Red,No Hair,Research biologist,https://www.superherodb.com/pictures2/portraits/10/100/11.jpg
413,Lobo,94,100,54,100,100,85,Lobo,DC Comics,neutral,Male,Czarnian,229 cm,288 kg,Red,Black,"Assassin, Bounty Hunter, Priest",https://www.superherodb.com/pictures2/portraits/10/100/1127.jpg
414,Loki,88,63,46,85,100,60,Loki Laufeyson,Marvel Comics,bad,Male,Asgardian,193 cm,236 kg,Green,Black,God of evil; former god of mischief and madness,https://www.superherodb.com/pictures2/portraits/10/100/928.jpg
415,Longshot,50,10,27,10,71,70,,Marvel Comics,good,Male,Human,188 cm,36 kg,Blue,Blond,"freedom fighter, stuntman rebel, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/1531.jpg
416,Luke Cage,50,63,29,95,44,70,Luke Cage,Power Man,good,Male,Human,198 cm,191 kg,Brown,Black,"Adventurer, bar owner, bodyguard, mercenary; formerly theater owner, private investigator, various odd jobs",https://www.superherodb.com/pictures2/portraits/10/100/269.jpg
417,Luke Campbell,null,null,null,null,null,null,Luke Campbell,NBC - Heroes,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1311.jpg
418,Luke Skywalker,69,38,42,25,100,100,Luke Skywalker,George Lucas,good,Male,Human,168 cm,77 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/10447.jpg
419,Luna,38,6,83,14,53,14,Luna Maximoff,Marvel Comics,good,Female,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/933.jpg
420,Lyja,null,null,null,null,null,null,Lyja,Marvel Comics,good,Female,null,0 cm,0 kg,Green,Green,Former Skrull Liason Officer,https://www.superherodb.com/pictures2/portraits/10/100/1017.jpg
421,Mach-IV,75,36,60,84,60,56,Abner Jenkins,Marvel Comics,bad,Male,null,180 cm,79 kg,Brown,Brown,"Adventurer; former master mechanic, professional criminal, mercenary",https://www.superherodb.com/pictures2/portraits/10/100/370.jpg
422,Machine Man,63,32,35,84,51,64,"X-51, Aaron Stack",Marvel Comics,good,-,null,183 cm,383 kg,Red,Black,Insurance Investigator,https://www.superherodb.com/pictures2/portraits/10/100/90.jpg
423,Magneto,88,80,27,84,91,80,Erik Magnus Lensherr,Marvel Comics,bad,Male,Mutant,188 cm,86 kg,Grey,White,"Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent",https://www.superherodb.com/pictures2/portraits/10/100/12.jpg
424,Magog,50,48,23,64,66,72,David Reid,DC Comics,good,Male,null,0 cm,0 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/1324.jpg
425,Magus,88,100,70,99,100,74,,Marvel Comics,bad,Male,null,183 cm,0 kg,Black,-,Ruler of the Technarchy,https://www.superherodb.com/pictures2/portraits/10/100/1297.jpg
426,Man of Miracles,100,100,100,100,100,100,,Image Comics,-,-,God / Eternal,0 cm,0 kg,Blue,Silver,-,https://www.superherodb.com/pictures2/portraits/10/100/10889.jpg
427,Man-Bat,38,18,50,70,33,30,Robert Kirkland Langstrom,DC Comics,neutral,Male,Human,0 cm,0 kg,Brown,Brown,Zoologist,https://www.superherodb.com/pictures2/portraits/10/100/731.jpg
428,Man-Thing,50,32,8,100,100,40,Dr. Theodore Sallis,Marvel Comics,good,Male,null,213 cm,225 kg,Red,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/382.jpg
429,Man-Wolf,63,44,35,42,45,70,John Jameson,Marvel Comics,good,Male,null,188 cm,90 kg,Brown,Auburn,"Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute",https://www.superherodb.com/pictures2/portraits/10/100/91.jpg
430,Mandarin,100,28,23,28,100,95,Khan,Marvel Comics,bad,Male,Human,188 cm,97 kg,Blue,White,"Would-be conqueror; former janitor, businessman and crimelord, government administrator",https://www.superherodb.com/pictures2/portraits/10/100/1175.jpg
431,Mantis,63,8,33,80,100,80,,Marvel Comics,good,Female,Human-Kree,168 cm,52 kg,Green,Black,"Celestial Madonna, former adventuress, former bar-maid/prostitute/exotic dancer",https://www.superherodb.com/pictures2/portraits/10/100/384.jpg
432,Martian Manhunter,100,95,92,100,100,85,J'onn J'onzz,DC Comics,good,Male,Martian,201 cm,135 kg,Red,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/733.jpg
433,Marvel Girl,63,85,47,42,100,80,Rachel Anne Summers,Marvel Comics,good,Female,null,170 cm,56 kg,Green,Red,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/94.jpg
434,Master Brood,null,null,null,null,null,null,Currently Colin Wood,Team Epic TV,good,Male,null,183 cm,81 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/958.jpg
435,Master Chief,75,73,35,80,69,100,John-117,Microsoft,good,Male,Human / Altered,213 cm,0 kg,Brown,Brown,Master Chief Petty Officer of the Navy,https://www.superherodb.com/pictures2/portraits/10/100/1110.jpg
436,Match,75,95,83,85,100,70,Kent Connor,DC Comics,bad,Male,null,0 cm,0 kg,Black,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1459.jpg
437,Matt Parkman,63,10,12,14,59,56,Matthew Parkman,NBC - Heroes,good,Male,null,0 cm,0 kg,-,-,NYPD detective,https://www.superherodb.com/pictures2/portraits/10/100/948.jpg
438,Maverick,63,10,12,42,60,85,Christopher Bradley,Marvel Comics,good,Male,null,193 cm,110 kg,Blue,Black,"Mercenary; former adventurer, student",https://www.superherodb.com/pictures2/portraits/10/100/257.jpg
439,Maxima,75,90,35,56,81,75,,DC Comics,bad,Female,null,180 cm,72 kg,Brown,Red,"Adventurer, Queen of the Almerac Empire",https://www.superherodb.com/pictures2/portraits/10/100/1168.jpg
440,Maya Herrera,50,10,12,14,60,14,Maya Herrera,NBC - Heroes,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/944.jpg
441,Medusa,75,34,35,70,37,56,Medusalith Amaquelin Boltagon,Marvel Comics,good,Female,Inhuman,180 cm,59 kg,Green,Red,"Queen, Royal interpreter",https://www.superherodb.com/pictures2/portraits/10/100/96.jpg
442,Meltdown,38,10,12,42,62,64,Tabitha Smith,Boom-Boom,good,Female,null,165 cm,54 kg,Blue,Blond,"Adventurer, former student, thief",https://www.superherodb.com/pictures2/portraits/10/100/258.jpg
443,Mephisto,88,85,35,95,100,42,,Marvel Comics,bad,Male,null,198 cm,140 kg,White,Black,Lord of a realm of Hell,https://www.superherodb.com/pictures2/portraits/10/100/1322.jpg
444,Mera,56,62,79,60,92,80,Mera,DC Comics,good,Female,Atlantean,175 cm,72 kg,Blue,Red,Former queen of Atlantis; Former queen of Dimension Aqua,https://www.superherodb.com/pictures2/portraits/10/100/1388.jpg
445,Metallo,75,53,23,95,86,64,John Corben,DC Comics,bad,Male,Android,196 cm,90 kg,Green,Brown,Professional criminal,https://www.superherodb.com/pictures2/portraits/10/100/737.jpg
446,Metamorpho,null,82,null,null,null,null,Rex Mason,DC Comics,good,Male,null,185 cm,90 kg,Black,No Hair,"Adventurer, former Soldier of Fortune",https://www.superherodb.com/pictures2/portraits/10/100/738.jpg
447,Meteorite,null,null,null,null,null,null,,Marvel Comics,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1333.jpg
448,Metron,88,10,47,56,100,28,Metron,DC Comics,good,Male,null,185 cm,86 kg,Blue,Black,"Scientist, seeker of knowledge",https://www.superherodb.com/pictures2/portraits/10/100/841.jpg
449,Micah Sanders,63,8,12,14,57,14,Micah Sanders,NBC - Heroes,good,Male,null,0 cm,0 kg,Brown,Black,Elementary school student,https://www.superherodb.com/pictures2/portraits/10/100/951.jpg
450,Michelangelo,63,14,50,65,59,75,,IDW Publishing,good,Male,Mutant,0 cm,0 kg,Blue,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10329.jpg
451,Micro Lad,38,28,27,28,44,32,Gim Allon,DC Comics,good,Male,null,183 cm,77 kg,Grey,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/1181.jpg
452,Mimic,63,67,47,56,79,42,Calvin Montgomery Rankin,Marvel Comics,good,Male,null,188 cm,101 kg,Brown,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/97.jpg
453,Minna Murray,null,null,null,null,null,null,Wilhelmina Harker,Wildstorm,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/881.jpg
454,Misfit,63,32,23,80,91,42,Charlotte Gage-Radcliffe,Batgirl V,good,Female,null,0 cm,0 kg,Blue,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/1114.jpg
455,Miss Martian,63,85,58,100,100,45,M'gann M'orzz,DC Comics,good,Female,null,178 cm,61 kg,Red,Red,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/1394.jpg
456,Mister Fantastic,100,10,18,70,33,64,Reed Richards,Marvel Comics,good,Male,Human / Radiation,185 cm,81 kg,Brown,Brown,"Scientist, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/408.jpg
457,Mister Freeze,75,32,12,70,37,28,Victor Fries,DC Comics,bad,Male,Human,183 cm,86 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/742.jpg
458,Mister Knife,75,10,17,30,13,65,J'son,Marvel Comics,bad,Male,Spartoi,0 cm,0 kg,Blue,Brown,"Crimelord; former emperor, prince",https://www.superherodb.com/pictures2/portraits/10/100/10633.jpg
459,Mister Mxyzptlk,100,85,100,100,100,50,Mr. Mxyzptlk,DC Comics,bad,Male,God / Eternal,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/744.jpg
460,Mister Sinister,100,48,46,90,100,50,Nathaniel Essex,Marvel Comics,bad,Male,Human / Altered,196 cm,128 kg,Red,Black,"Geneticist, Criminal, biologist and mutant-supremacist",https://www.superherodb.com/pictures2/portraits/10/100/856.jpg
461,Mister Zsasz,88,22,33,28,18,85,Victor Zsasz,DC Comics,bad,Male,Human,0 cm,0 kg,Blue,Blond,Serial Killer,https://www.superherodb.com/pictures2/portraits/10/100/1486.jpg
462,Mockingbird,75,31,38,20,48,95,Barbara Morse,Marvel Comics,good,Female,Human,175 cm,61 kg,Blue,Blond,"Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist",https://www.superherodb.com/pictures2/portraits/10/100/1328.jpg
463,MODOK,100,18,25,25,79,15,George Tarleton,Marvel Comics,bad,Male,Cyborg,366 cm,338 kg,White,Brownn,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician",https://www.superherodb.com/pictures2/portraits/10/100/10438.jpg
464,Mogo,null,null,null,null,null,null,Mogo,DC Comics,good,Male,Planet,0 cm,0 kg,-,-,Green Lantern,https://www.superherodb.com/pictures2/portraits/10/100/1432.jpg
465,Mohinder Suresh,null,null,null,null,null,null,Mohinder Suresh,NBC - Heroes,good,Male,null,0 cm,0 kg,-,-,"Former agent of Pinehearst Company, former Company medical professional & agent, former taxi driver, former genetics professor",https://www.superherodb.com/pictures2/portraits/10/100/1313.jpg
466,Moloch,null,null,null,null,null,null,Edgar William Jacobi,DC Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1061.jpg
467,Molten Man,50,73,23,84,53,56,Mark Raxton,Marvel Comics,bad,Male,null,196 cm,248 kg,Gold,Gold,"Security guard for Osborn industries, former criminal, lab assistant",https://www.superherodb.com/pictures2/portraits/10/100/411.jpg
468,Monarch,null,100,null,null,null,null,Nathaniel Christopher Adam,DC Comics,good,Male,null,193 cm,90 kg,Blue,White,"Adventurer, former U.S. Special Agent, former U.S. Air Force Captain",https://www.superherodb.com/pictures2/portraits/10/100/1006.jpg
469,Monica Dawson,50,10,35,14,48,90,Monica Dawson,NBC - Heroes,good,Female,null,0 cm,0 kg,-,-,Fast food service,https://www.superherodb.com/pictures2/portraits/10/100/942.jpg
470,Moon Knight,50,36,23,42,28,75,Marc Spector,Marvel Comics,good,Male,Human,188 cm,101 kg,Brown,Brown,"Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver",https://www.superherodb.com/pictures2/portraits/10/100/415.jpg
471,Moonstone,56,67,47,52,74,80,Karla Sofen,Marvel Comics,bad,Female,null,180 cm,59 kg,Blue,Blond,"former Adventurer, Psychiatrist",https://www.superherodb.com/pictures2/portraits/10/100/100.jpg
472,Morlun,63,60,35,42,74,56,Morlun,Marvel Comics,bad,Male,null,188 cm,79 kg,White / Red,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1171.jpg
473,Morph,null,40,null,null,null,null,Kevin Sydney,Marvel Comics,good,Male,null,178 cm,79 kg,White,No Hair,"Adventurer, reality traveler",https://www.superherodb.com/pictures2/portraits/10/100/102.jpg
474,Moses Magnum,75,28,12,42,55,56,Moses Magnum,Marvel Comics,bad,Male,null,175 cm,72 kg,Brown,Black,"Terrorist, president of Magnum Munitions; former ruler of Canaan",https://www.superherodb.com/pictures2/portraits/10/100/1020.jpg
475,Mr Immortal,50,10,8,100,69,30,Craig Hollis,Marvel Comics,good,Male,Mutant,188 cm,70 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/10794.jpg
476,Mr Incredible,50,83,33,95,29,40,Robert Parr,Dark Horse Comics,good,Male,Human,201 cm,158 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/869.jpg
477,Ms Marvel II,38,63,23,84,11,56,Sharon Ventura,She-Thing,good,Female,null,173 cm,61 kg,Blue,Red,"Wanderer, former adventurer, wrestler, stunt woman, scuba diver, motorcycle performer",https://www.superherodb.com/pictures2/portraits/10/100/897.jpg
478,Multiple Man,63,11,23,70,28,62,James Arthur,Marvel Comics,good,Male,null,180 cm,70 kg,Blue,Brown,"Private investigator (formerly) Farmer, Adventurer",https://www.superherodb.com/pictures2/portraits/10/100/104.jpg
479,Mysterio,81,10,17,40,82,70,Quentin Beck,Marvel Comics,bad,Male,Human,180 cm,79 kg,Brown,No Hair,Criminal; former Hollywood special effects designer and stunt man,https://www.superherodb.com/pictures2/portraits/10/100/1039.jpg
480,Mystique,75,12,23,64,64,74,Raven Darkholme,Marvel Comics,bad,Female,Mutant,178 cm,54 kg,Yellow (without irises),Red / Orange,"Special operative for Germany and the United States governments, (former) German Freedom Fighter, special operative in the Weapon X Project Team",https://www.superherodb.com/pictures2/portraits/10/100/817.jpg
481,Namor,69,95,58,70,73,85,Namor McKenzie,Marvel Comics,good,Male,Atlantean,188 cm,125 kg,Grey,Black,"King of Atlantis, Adventurer; former warrior, commando, CEO",https://www.superherodb.com/pictures2/portraits/10/100/137.jpg
482,Namor,null,null,null,null,null,null,,Marvel Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/105.jpg
483,Namora,50,85,42,42,48,64,Aquaria Nautica Neptunia,Marvel Comics,good,Female,null,180 cm,85 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/1364.jpg
484,Namorita,50,72,47,70,37,70,Namorita Prentiss,Marvel Comics,good,Female,null,168 cm,101 kg,Blue,Blond,"Superhero, formerly Leader of Atlantis",https://www.superherodb.com/pictures2/portraits/10/100/106.jpg
485,Naruto Uzumaki,50,80,32,80,100,100,,Shueisha,good,Male,Human,168 cm,54 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1540.jpg
486,Nathan Petrelli,null,null,null,null,null,null,Nathan Petrelli,NBC - Heroes,good,Male,null,0 cm,0 kg,Brown,-,"formerly a U.S. Congressman, formerly a district attorney, formerly a Navy officer",https://www.superherodb.com/pictures2/portraits/10/100/949.jpg
487,Nebula,63,52,13,50,42,60,,Marvel Comics,bad,Female,Luphomoid,185 cm,83 kg,Blue,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/10632.jpg
488,Negasonic Teenage Warhead,50,7,8,10,45,35,Ellie Phimister,Marvel Comics,good,Female,Mutant,0 cm,0 kg,Black,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/10556.jpg
489,Nick Fury,75,11,23,42,25,100,Nicholas Joseph Fury,Marvel Comics,good,Male,Human,185 cm,99 kg,Brown,Brown / White,"S.H.I.E.L.D. director; former S.H.I.E.L.D. agent, intelligence agent, soldier and commando leader, parachuting instructor, stunt flyer",https://www.superherodb.com/pictures2/portraits/10/100/326.jpg
490,Nightcrawler,50,10,47,14,76,80,Kurt Wagner,Marvel Comics,good,Male,null,175 cm,88 kg,Yellow,Indigo,"Adventurer, Teacher",https://www.superherodb.com/pictures2/portraits/10/100/107.jpg
491,Nightwing,88,11,33,28,36,100,Dick Grayson,Batman II,good,Male,Human,178 cm,79 kg,Blue,Black,"Vigilante and detective, former police officer, former Circus Acrobat",https://www.superherodb.com/pictures2/portraits/10/100/851.jpg
492,Niki Sanders,63,52,35,28,37,56,Nicole Sanders,NBC - Heroes,good,Female,null,0 cm,0 kg,Blue,Blond,Former casino worker and online webcam operator; currently an agent of the Company,https://www.superherodb.com/pictures2/portraits/10/100/952.jpg
493,Nina Theroux,63,5,8,10,68,20,,SyFy,good,Female,Alpha,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1529.jpg
494,Nite Owl II,null,45,null,null,null,null,Daniel Dreiberg,DC Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1059.jpg
495,Northstar,50,18,83,56,65,70,Jean-Paul Beaubier,Marvel Comics,good,Male,null,180 cm,83 kg,Blue,Black,"Former terrorist, adventurer, teacher, businessman, novelist, professional skier, trapeze artist, thief",https://www.superherodb.com/pictures2/portraits/10/100/1287.jpg
496,Nova,100,85,75,100,100,80,Richard Rider,Marvel Comics,good,Male,Human,185 cm,86 kg,Brown,Brown,"Superhero, also works parttime at Marvel Burger",https://www.superherodb.com/pictures2/portraits/10/100/109.jpg
497,Nova,63,60,100,100,100,35,Frankie Raye,Marvel Comics,good,Female,Human / Cosmic,163 cm,59 kg,White,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/10313.jpg
498,Odin,100,83,67,95,100,90,Odin Borson,Marvel Comics,good,Male,God / Eternal,206 cm,293 kg,Blue,White,"Deity, Monarch of Asgard, Asgardian God of the Sky, Wind, Wisdom, Crafts, Time, and the Dead, Warrior",https://www.superherodb.com/pictures2/portraits/10/100/10388.jpg
499,Offspring,50,10,35,99,100,56,Luke O'Brian,DC Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1298.jpg
500,Omega Red,null,61,null,null,null,null,Arkady Gregorivich,Marvel Comics,bad,Male,null,211 cm,191 kg,Red,Blond,"Crimelord; former mercenary, KGB agent",https://www.superherodb.com/pictures2/portraits/10/100/208.jpg
501,Omniscient,null,null,null,null,null,null,Omniscient is the closest English word that compares to his alien tongue.,Team Epic TV,good,Male,null,180 cm,65 kg,Brown,Black,"Superhero, Grade 9 physics teacher",https://www.superherodb.com/pictures2/portraits/10/100/1003.jpg
502,One Punch Man,38,100,83,95,55,50,Saitama,Shueisha,good,Male,Human,175 cm,69 kg,-,No Hair,"Superhero, Sensei",https://www.superherodb.com/pictures2/portraits/10/100/10522.jpg
503,One-Above-All,100,100,100,100,100,100,,Marvel Comics,neutral,-,Cosmic Entity,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10374.jpg
504,Onslaught,88,100,33,100,100,55,Onslaught,Marvel Comics,bad,Male,Mutant,305 cm,405 kg,Red,No Hair,Would-be destroyer,https://www.superherodb.com/pictures2/portraits/10/100/13.jpg
505,Oracle,75,11,23,28,19,76,Barbara Gordon,Batgirl,good,Female,Human,178 cm,59 kg,Blue,Red,Computer hacker and Coordinator of the Birds of Prey; Former student; former librarian; former vigilante,https://www.superherodb.com/pictures2/portraits/10/100/749.jpg
506,Osiris,75,85,60,95,65,42,Amon Tomaz,DC Comics,good,Male,null,0 cm,0 kg,Brown,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/1165.jpg
507,Overtkill,null,null,null,null,null,null,Nicholas Rocca,Image Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/866.jpg
508,Ozymandias,100,18,33,20,49,95,Adrian Veidt,DC Comics,bad,Male,Human,0 cm,0 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/1063.jpg
509,Parademon,9,28,17,50,53,25,,DC Comics,bad,-,Parademon,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10806.jpg
510,Paul Blart,8,11,21,50,7,5,Paul Blart,Sony Pictures,good,Male,Human,170 cm,117 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10479.jpg
511,Penance,null,null,null,null,null,null,,Marvel Comics,good,-,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/929.jpg
512,Penance I,null,null,null,null,null,null,,Marvel Comics,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/930.jpg
513,Penance II,null,20,null,null,null,null,Robert Baldwin,Speedball,good,Male,null,183 cm,89 kg,Blue,Blond,"Government operative; former adventurer, reality TV star, student, television show intern, engineering intern, lab worker",https://www.superherodb.com/pictures2/portraits/10/100/900.jpg
514,Penguin,75,10,12,28,30,45,Oswald Chesterfield Cobblepot,DC Comics,bad,Male,Human,157 cm,79 kg,Blue,Black,Trader,https://www.superherodb.com/pictures2/portraits/10/100/753.jpg
515,Phantom,null,48,null,null,null,null,Christopher Walker,DC Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/889.jpg
516,Phantom Girl,38,10,23,28,53,42,Tinya Wazzo,DC Comics,good,Female,null,168 cm,54 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1184.jpg
517,Phoenix,100,100,83,100,100,80,Jean Grey,Jean Grey,good,Female,Mutant,168 cm,52 kg,Green,Red,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/828.jpg
518,Plantman,63,60,25,55,61,25,Samuel Smithers,Marvel Comics,bad,Male,Mutant,183 cm,87 kg,Green,Grey,"Professional Criminal, formerly Gardner",https://www.superherodb.com/pictures2/portraits/10/100/10487.jpg
519,Plastic Lad,null,null,null,null,null,null,Luke O'Brian,DC Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1299.jpg
520,Plastic Man,50,63,23,100,100,56,Patrick O'Brian,DC Comics,good,Male,Human,185 cm,80 kg,Blue,Black,Government Agent,https://www.superherodb.com/pictures2/portraits/10/100/756.jpg
521,Plastique,50,10,23,28,60,42,Bette Sans Souci,DC Comics,bad,Female,null,168 cm,55 kg,Blue,Red,"Government Agent, former Terrorist, Mercenary",https://www.superherodb.com/pictures2/portraits/10/100/1176.jpg
522,Poison Ivy,81,14,21,40,100,40,Pamela Isley,DC Comics,bad,Female,Human,168 cm,50 kg,Green,Red,"Criminal, Botanist",https://www.superherodb.com/pictures2/portraits/10/100/757.jpg
523,Polaris,63,73,42,50,100,45,Lorna Dane,Marvel Comics,good,Female,Mutant,170 cm,52 kg,Green,Green,"Adventurer, former U.S. government operative, former graduate student in geophysics",https://www.superherodb.com/pictures2/portraits/10/100/1046.jpg
524,Power Girl,94,100,100,100,100,75,Kara Zor-L,DC Comics,good,Female,Kryptonian,180 cm,81 kg,blue,blond,-,https://www.superherodb.com/pictures2/portraits/10/100/758.jpg
525,Power Man,null,82,null,null,null,null,Luke Cage,Luke Cage,good,Male,Mutant,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1016.jpg
526,Predator,63,30,25,85,100,90,Yautja,Dark Horse Comics,bad,Male,Yautja,213 cm,234 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10448.jpg
527,Professor X,100,8,12,14,100,32,Charles Francis Xavier,Marvel Comics,good,Male,Mutant,183 cm,86 kg,Blue,No Hair,"Mutant leader, mutant rights activist, geneticist, teacher, adventurer, heir, formerly headmaster, soldier (US Army)",https://www.superherodb.com/pictures2/portraits/10/100/113.jpg
528,Professor Zoom,94,10,100,20,83,20,Eobard Thawne,DC Comics,bad,Male,Human,180 cm,81 kg,Blue,Strawberry Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/766.jpg
529,Psylocke,63,33,25,40,100,90,Elizabeth Braddock,Marvel Comics,good,Female,Mutant,180 cm,70 kg,Blue,Purple,"Adventurer, formerly a STRIKE operative, fashion model",https://www.superherodb.com/pictures2/portraits/10/100/114.jpg
530,Punisher,69,16,21,45,42,100,Frank Castle,Marvel Comics,good,Male,Human,183 cm,90 kg,Blue,Black,Former United States Marine turned professional vigilante,https://www.superherodb.com/pictures2/portraits/10/100/112.jpg
531,Purple Man,56,10,8,30,92,10,Zebediah Killgrave,Marvel Comics,bad,Male,Human,180 cm,74 kg,Purple,Purple,"Professional criminal, Megalomaniac, Former spy",https://www.superherodb.com/pictures2/portraits/10/100/10451.jpg
532,Pyro,38,10,12,14,54,28,St. John Allerdyce,Marvel Comics,bad,Male,null,178 cm,68 kg,Blue,Blond,"Former government agent, terrorist, bodyguard, novelist, journalist",https://www.superherodb.com/pictures2/portraits/10/100/853.jpg
533,Q,100,12,17,100,100,40,Q,Star Trek,-,Male,God / Eternal,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10578.jpg
534,Quantum,null,null,null,null,null,null,,HarperCollins,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1157.jpg
535,Question,81,14,27,35,20,80,Charles Victor Szasz,DC Comics,good,Male,Human,188 cm,83 kg,Blue,Blond,Former Television Investigative Journalist,https://www.superherodb.com/pictures2/portraits/10/100/760.jpg
536,Quicksilver,63,28,100,60,81,56,Pietro Django Maximoff,Marvel Comics,good,Male,Mutant,183 cm,79 kg,Blue,Silver,"(current) Adventurer, (former) Terrorist, officer of the Inhumans militia, United States government operative",https://www.superherodb.com/pictures2/portraits/10/100/115.jpg
537,Quill,38,10,12,14,23,14,Maxwell Jordan,Marvel Comics,good,Male,null,163 cm,56 kg,Brown,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/830.jpg
538,Ra's Al Ghul,100,28,32,42,27,100,Ra's Al Ghul,DC Comics,bad,Male,Human,193 cm,97 kg,Green,Grey,"Eco Terrorist, Businessman, Cult Leader",https://www.superherodb.com/pictures2/portraits/10/100/761.jpg
539,Rachel Pirzad,63,4,8,10,52,10,,SyFy,good,Female,Alpha,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1530.jpg
